Region,Mean_NDVI,Center_Lon,Center_Lat,Is_Bengaluru,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2
Region_2,,77.57084647775946,14.475092112469735,False,105,IND,India,2,Andhra Pradesh,3,Anantapur,District,District,,"Anantpur, Ananthapur"
Region_3,,79.00393766066382,13.456597359032894,False,105,IND,India,2,Andhra Pradesh,4,Chittoor,District,District,,Chitoor|Chittor
Region_4,,78.77430269817053,14.450746523406877,False,105,IND,India,2,Andhra Pradesh,5,Cuddapah,District,District,,
Region_6,,80.08127788748527,16.291438610432362,False,105,IND,India,2,Andhra Pradesh,7,Guntur,District,District,,
Region_7,9.657579454767286e-05,80.79289725061827,16.550410941056914,False,105,IND,India,2,Andhra Pradesh,8,Krishna,District,District,,Kistna
Region_8,,78.0000284823416,15.52801090170187,False,105,IND,India,2,Andhra Pradesh,9,Kurnool,District,District,,
Region_9,,79.72296434973812,14.429843338850445,False,105,IND,India,2,Andhra Pradesh,10,Nellore,District,District,,
Region_10,,79.50950385641944,15.611367900214214,False,105,IND,India,2,Andhra Pradesh,11,Prakasam,District,District,,
Region_93,0.0008162251291634604,81.05166407267079,18.654668924164042,False,105,IND,India,7,Chhattisgarh,94,Dantewada,District,District,,
Region_98,0.0,81.12118692079586,20.134140813256206,False,105,IND,India,7,Chhattisgarh,99,Kanker,District,District,,
Region_105,0.0,80.81230786721954,21.038417040502402,False,105,IND,India,7,Chhattisgarh,106,Raj Nandgaon,District,District,,
Region_107,,73.08090142535934,20.19474194045413,False,105,IND,India,8,Dadra and Nagar Haveli,108,Dadra and Nagar Haveli,District,District,,
Region_111,,73.98406110381248,15.55096453004359,False,105,IND,India,11,Goa,112,North Goa,District,District,,
Region_112,,74.12038087418154,15.195394176308326,False,105,IND,India,11,Goa,113,South Goa,District,District,,
Region_137,,73.11854090946652,20.4182823980011,False,105,IND,India,12,Gujarat,138,Valsad,District,District,,Bulsar|Walsad
Region_205,,75.62653448650062,16.21799570114938,False,105,IND,India,17,Karnataka,206,Bagalkot,District,District,,
